date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:00:55	117/117	---MCZ	200	added ('OK')	text/plain	date:Wed,%2008%20Jan%202025%2023:00:55%20GMT	https://sigony.com/robots.txt		(from )
20:00:55	192746/192746	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202025%2016:32:26%20GMT	https://sigony.com/	C:/SITE%20AMPLIO/1/sigony.com/index.html	(from )
20:00:56	21912/21912	---M--	200	added ('OK')	application/font-woff	etag:%2267000822-5598%22	https://sigony.com/wp-content/themes/salient/css/fonts/icomoon.woff?v=1.6	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/css/fonts/icomoon3cc5.woff	(from https://sigony.com/)
20:00:57	4908/4908	---M--	200	added ('OK')	image/png	etag:%22677beb14-132c%22	https://sigony.com/wp-content/plugins/seoai-client/gutenberg/content-editor/build/images/s-logo.88bc4401.png	C:/SITE%20AMPLIO/1/sigony.com/wp-content/plugins/seoai-client/gutenberg/content-editor/build/images/s-logo.88bc4401.png	(from https://sigony.com/)
20:00:57	727/727	---MC-	200	added ('OK')	application/rss+xml	etag:%228a2e234d75e7168dd5a8823278389c47%22	https://sigony.com/comments/feed/	C:/SITE%20AMPLIO/1/sigony.com/comments/feed/index.html	(from https://sigony.com/)
20:00:57	21942/21942	---MCZ	200	added ('OK')	text/css	etag:W/%2267000858-55b6%22	https://sigony.com/wp-content/themes/salient/css/build/grid-system.css?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/css/build/grid-systemd8c7.css	(from https://sigony.com/)
20:00:57	57954/57954	---MC-	200	added ('OK')	application/rss+xml	etag:%228a2e234d75e7168dd5a8823278389c47%22	https://sigony.com/feed/	C:/SITE%20AMPLIO/1/sigony.com/feed/index.html	(from https://sigony.com/)
20:00:57	174229/174229	---MCZ	200	added ('OK')	text/css	etag:W/%2267000858-2a895%22	https://sigony.com/wp-content/themes/salient/css/build/style.css?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/css/build/styled8c7.css	(from https://sigony.com/)
20:00:58	1642/1642	---MCZ	200	added ('OK')	text/css	etag:W/%2267000858-66a%22	https://sigony.com/wp-content/themes/salient/css/build/header/header-layout-centered-menu.css?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/css/build/header/header-layout-centered-menud8c7.css	(from https://sigony.com/)
20:00:58	10558/10558	---MCZ	200	added ('OK')	text/css	etag:W/%2267000858-293e%22	https://sigony.com/wp-content/themes/salient/css/build/header/header-perma-transparent.css?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/css/build/header/header-perma-transparentd8c7.css	(from https://sigony.com/)
20:00:58	3881/3881	---MCZ	200	added ('OK')	text/css	etag:W/%2267000858-f29%22	https://sigony.com/wp-content/themes/salient/css/build/elements/element-scrolling-text.css?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/css/build/elements/element-scrolling-textd8c7.css	(from https://sigony.com/)
20:00:58	47198/47198	---MCZ	200	added ('OK')	text/css	etag:W/%2267000858-b85e%22	https://sigony.com/wp-content/themes/salient/css/build/elements/element-post-grid.css?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/css/build/elements/element-post-gridd8c7.css	(from https://sigony.com/)
20:00:59	39501/39501	---MCZ	200	added ('OK')	text/css	etag:W/%2267000858-9a4d%22	https://sigony.com/wp-content/themes/salient/css/build/responsive.css?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/css/build/responsived8c7.css	(from https://sigony.com/)
20:00:59	55783/55783	---MCZ	200	added ('OK')	text/css	etag:W/%2267000858-d9e7%22	https://sigony.com/wp-content/themes/salient/css/build/skin-material.css?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/css/build/skin-materiald8c7.css	(from https://sigony.com/)
20:00:59	8039/8039	---MCZ	200	added ('OK')	text/css	etag:W/%22677dc9e8-1f67%22	https://sigony.com/wp-content/uploads/salient/menu-dynamic.css?ver=825	C:/SITE%20AMPLIO/1/sigony.com/wp-content/uploads/salient/menu-dynamicd94a.css	(from https://sigony.com/)
20:00:59	39738/39738	---MCZ	200	added ('OK')	text/css	etag:W/%2267000857-9b3a%22	https://sigony.com/wp-content/plugins/js_composer_salient/assets/css/js_composer.min.css?ver=7.8.1	C:/SITE%20AMPLIO/1/sigony.com/wp-content/plugins/js_composer_salient/assets/css/js_composer.mind03b.css	(from https://sigony.com/)
20:01:00	152434/152434	---MCZ	200	added ('OK')	text/css	etag:W/%22677d4221-25372%22	https://sigony.com/wp-content/themes/salient/css/salient-dynamic-styles.css?ver=57846	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient/css/salient-dynamic-stylese9ed.css	(from https://sigony.com/)
20:01:00	304/304	---MCZ	200	added ('OK')	text/css	etag:W/%2267000858-130%22	https://sigony.com/wp-content/themes/salient-child/style.css?ver=17.0.2	C:/SITE%20AMPLIO/1/sigony.com/wp-content/themes/salient-child/styled8c7.css	(from https://sigony.com/)
20:01:00	1356/1356	---MCZ	200	added ('OK')	application/javascript	etag:W/%22677e92b0-54c%22	https://sigony.com/wp-content/plugins/breeze/assets/js/js-front-end/breeze-prefetch-links.min.js?ver=2.2.1	C:/SITE%20AMPLIO/1/sigony.com/wp-content/plugins/breeze/assets/js/js-front-end/breeze-prefetch-links.min77e6.js	(from https://sigony.com/)
20:01:01	125629/125629	---MCZ	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202025%2023:01:00%20GMT	https://sigony.com/wp-json/wp/v2/pages/27099	C:/SITE%20AMPLIO/1/sigony.com/wp-json/wp/v2/pages/27099.json	(from https://sigony.com/)
20:01:01	255055/255055	---MCZ	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202025%2023:01:01%20GMT	https://sigony.com/wp-json/	C:/SITE%20AMPLIO/1/sigony.com/wp-json/index.html	(from https://sigony.com/)
